Course_Name,Course_Description,learning_goals,level,duration,Time,Exam,Project,Course_Content
مقدمة في المشاريع التقنية,سنتعرف في هذة الدورة على ماهية المشاريع التقنية ، من ثم عناصرها الى ان ننتقل لدورة حياة المشاريع التقنية وانوعها وختاما سنتعرف على العمليات والبرامج والمحافظ في المجال التقني,"ماهو المشروع وصفاته وأمثلة للمشاريع التقنية, ماهي عناصر المشروع وتطبيق عملي لفهمهم, دورات حياة المشاريع التقنية وانواعها, ماهي العمليات والبرامج والمحافظ في المجال التقني",مبتدئ,ساعتان,120 دقيقة تدريبية,5  اختبارات,no,"وصف الدورة,  ماهو المشروع ؟,  عناصر المشروع,  انواع دورة حياة المشاريع,  العمليات والبرنامج والمحفظة,  دراسة حالة مشروع"
تعلم الآلة (ML) - 101,يهدف الدورة للتعرف على مفهوم تعلم الآلة (Machine Learning)، وأنوعه وتطبيقاته، كما سيتم التعرف على مراحل بناء نماذج تعلم الآلة وما هي خوارزميات تعلم الآلة.,"أنواع خوارزميات تعلم الآلة., مراحل بناء نماذج تعلم الآلة., خوارزميات الانحدار (Regression Algorithms).",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروعان,"مقدمة عن تعلم الآلة,  خوارزميات الانحدار,  تطبيق عملي لخوارزميات الانحدار,  المشروع"
تحليل البيانات الاستكشافي (EDA),تهدف الدورة للتعرف على خطوات تحليل البيانات الاستكشافي (EDA - Exploratory Data Analysis) من عدة زوايا وعدة تحليلات والتي تساعد بدورها في فهم البيانات بشكل أكبر.,"التحليل الوصفي (Descriptive Analysis), تحليل متغير واحد (Univariate Analysis), تحليل متغيرين (Bivariate Analysis), تحليل عدة متغيرات (Multivariate Analysis)",متوسط,ساعتان,120 دقيقة تدريبية,4  اختبارات,مشروع واحد,"مقدمة عن EDA,  خطوات التحليل الاستكشافي,  تحليل متغير واحد (Univariate Analysis),  تحليل متغيرين (Bivariate Analysis),  تحليل عدة متغيرات (Multivariate Analysis),  المشروع"
تمثيل البيانات: مكتبة Seaborn,تهدف الدورة للتعرف على ما هي مكتبة Seaborn، وما هي أنواع الرسوم البيانية وتمثيل وتعديل خصائص البيانات باستخدام الرسوم البيانية التابعة لها،,"التعرف على مكتبة Seaborn., التعرف على أنواع الرسوم البيانية., التعرف على كيفية التعديل على خصائص الرسوم البيانية.",مبتدئ,ساعتان,120 دقيقة تدريبية,اختباران,مشروعان,"مقدمة عن مكتبة Seaborn,  أنواع الرسوم البيانية في مكتبة Seaborn,  المشروع"
تمثيل البيانات: مكتبة Matplotlib,تهدف الدورة للتعرف على كيفية تمثيل البيانات باستخدام الرسوم البيانية التابعة لمكتبة Matplotlib.,"التعرف على أنواع الرسوم البيانية., التعرف على كيفية التعديل على خصائص الرسوم البيانية., التعرف على كيفية إنشاء الرسوم البيانية على شكل Subplots.",متوسط,ساعتان,120 دقيقة تدريبية,7  اختبارات,مشروعان,"مقدمة عن مكتبة Matplotlib,  Histogram Charts,  Line Charts,  Bar Charts,  Pie Charts,  Scatter Charts,  إنشاء Subplots و حفظ الرسوم البيانية,  المشروع"
تحليل ومعالجة البيانات: مكتبة Pandas,في هذه الدورة سنتعرف على مكتبة Pandas التي تساعدنا على التعامل مع البيانات ومعالجتها وتحليلها,"كيفية إنشاء إطار بيانات وتنفيذ العمليات عليه, الوصول للبيانات واسترجاعها, تطبيق أهم الدوال على البيانات",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,مشروعان,"مقدمة عن دورة Pandas,  مقدمة في Series,  مقدمة في DataFrame,  استرجاع البيانات,  تطبيق العمليات على البيانات,  المشروع"
JAVA 104,تهدف الدورة  لتطبيق ما تم التعرف عليه في الدورات السابقة في مشروع برمجي بلغة JAVA.,"تطبيق المفاهيم الأساسية للغة JAVA, التعرف على الترتيب الصحيح لبناء مشروع بلغة JAVA, تطبيق بعض مفاهيم البرمجة الكائنية بلغة JAVA",متقدم,3  ساعات,180 دقيقة تدريبية,no,no,"تعريف بالدورة,  الجزء الأول,  الجزء الثاني,  الجزء الثالث"
JAVA 103,تهدف الدورة للتعرف على بعض المفاهيم التي تتعلق بالبرمجة كائنية التوجه OOP وآلية تطبيقها في لغة Java.,"التعرف على بعض المفاهيم التي تتعلق بالبرمجة كائنية التوجه في JAVA, التطبيق على مفهوم Encapsulation في JAVA, التطبيق على مفهوم Inheritance في JAVA, التطبيق على مفهوم Polymorphism في JAVA, التطبيق على مفهوم Abstraction في JAVA",متقدم,ساعتان,120 دقيقة تدريبية,5  اختبارات,11  مشروع,"مقدمة في البرمجة كائنية التوجه في JAVA,  Inheritance في JAVA,  Encapsulation في JAVA,  Polymorphism في JAVA,  Abstraction في JAVA,  مشروع برمجي"
JAVA 102,تهدف الدورة للتعرف على تطبيق المصفوفات والدوال، وكيفية عمل التكرار والاستثناءات في لغة JAVA.,"التطبيق على المصفوفات وعملياتها باستخدام لغة JAVA, التطبيق على الدوال باستخدام لغة JAVA, التطبيق على عمليات التكرار باستخدام لغة JAVA, التعرف على الاستثناءات في لغة JAVA وطريقة التعامل معها",متوسط,ساعتان,120 دقيقة تدريبية,4  اختبارات,no,"المصفوفات في لغة JAVA,  الدوال في لغة JAVA,  التكرار في لغة JAVA,  الاستثناءات في لغة JAVA,  مشروع برمجي"
مقدمة في Object Oriented Programming (OOP),للتعرف على أهم مفاهيم البرمجة الكائنية، وأهميتها في عالم البرمجة دون التطرق لأي لغة معينة.,"التعرف على أهمية مفهوم OOP في عالم البرمجة., التعرف على مفاهيم Class و Object ومدى أهميتهما., التعرف على مفهوم Inheritance، وهو أحد المفاهيم المتعلقة بمفهوم OOP., التعرف على مفهوم Abstraction، وهو أحد المفاهيم المتعلقة بمفهوم OOP., التعرف على مفهوم Encapsulation، وهو أحد المفاهيم المتعلقة بمفهوم OOP., التعرف على مفهوم Polymorphism، وهو أحد المفاهيم المتعلقة بمفهوم OOP.",متوسط,ساعتان,120 دقيقة تدريبية,7  اختبارات,no,"مقدمة عن الدورة,  مقدمة في مفهوم OOP,  مقدمة في مفهوم Class و Object,  مبادئ مفهوم OOP,  مقدمة في مفهوم Inheritance,  مقدمة في مفهوم Abstraction,  مقدمة في مفهوم Encapsulation,  مقدمة في مفهوم Polymorphism"
