Course Name,Type_of_Program,Description,Goals,Location,Date Range,Duration,Start Date,End Date,Age Group,Questions,Answers,links
فعالية WWDC24 Watch Party,لقاء,فعالية مصاحبة تقام على جانب مؤتمر شركة Apple السنوي WWDC، والذي يهتم بعرض أحدث برامج وتقنيات أنظمة آبل، والإعلان عن أهم وأبرز إطلاقات الشركة، في هذه الفعالية سيتم بث حدث المؤتمر بشكل مباشر، واستضافة العديد من الخبراء والمختصّين ضمن ورش عملية متنوّعة، والحديث حول منتجات Apple الجديدة.,غير مذكور,الرياض,يوم واحد,08:00 م - 11:00 م,2024-06-10,2024-06-10,كبار,", أين ستقام الفعالية؟",", في مقر الكراج بمدينة الرياض، وتحديداً في مدينة الملك عبدالعزيز للعلوم والتقنية.",https://tuwaiq.edu.sa/bootcamp/KV4waj2Z/view
إدارة خدمات تقنية المعلومات (ITIL),برنامج,برنامج تدريبي يستهدف المهتمين بتعلم مفاهيـم 4 ITIL عن طريق شرح وتطبيق عدد من المفاهيم المتخصصة، مثـل Lean Agile وDevOps، وذلك لاكتساب خبرة معرفية وعملية في مجال خدمات تقنية المعلومات.,", تعزيز وزيادة المعرفة والإلمام بالمعلومات الأساسية لخدمات تقنية المعلومات., معرفة كيف تعمل تقنية المعلومات بكامل مكوناتها., الاستعداد للاختبار الرسمي للشهادة",الرياض,أسبوع واحد,06:00 م - 09:00 م,2024-06-23,2024-06-27,كبار,", هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/4G6ZLmVJ/view
الذكاء الاصطناعي التوليدي القائم على LLAMA,معسكر,يهدف البرنامج التدريبي إلى التعرف على الذكاء الاصطناعي التوليدي القائم على LLAMA، بالتركيز على تدريب المطورين على تخصيص نماذج اللغة الكبيرة الخاصة بهم (LLMs) في مجموعة متنوعة من المجالات التجارية المهمة.,", تطوير مهارات عملية في بناء وتطبيق نماذج الذكاء الاصطناعي التوليدي القائمة على LLAMA, بناء نماذج الذكاء الاصطناعي التوليدي باستخدام LLAMA, حالات استخدام واقعية لنماذج الذكاء الاصطناعي التوليدي",الرياض,7 أسابيع,10:00 ص - 02:00 م,2024-06-30,2024-08-15,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/VjJ4mYlE/view
التطوير باستخدام تقنيات الواقع الممتد,معسكر,معسكر تطوير تقنيات الواقع الممتد هو برنامج تعليمي متخصص يهدف لتمكين المشاركين من اكتساب المهارات الضرورية لتطوير تطبيقات وتجارب واقع معززة وافتراضية مبتكرة. ,", تمكين المشاركين من اكتساب المهارات الفنية والتقنية اللازمة لتطوير تطبيقات وتجارب واقع معززة وواقع افتراضي مبتكرة., توفير بيئة تعليمية مكثفة تمكن المشاركين من تطبيق المفاهيم والتقنيات الحديثة في مجال تقنيات الواقع الممتد, تحفيز الإبداع والابتكار من خلال تطوير مشاريع واقع ممتدة تلبي احتياجات المستخدمين وتسهم في تطوير صناعة التطبيقات الحديثة.",الرياض,6 أسابيع,04:00 م - 08:00 م,2024-06-30,2024-08-08,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/qRxVg18X/view
برمجة لغة C# لبناء عوالم افتراضية باستخدام Unity,معسكر,ستتعلم من خلال هذا المعسكر البرمجة بلغة C# كما ستتعرف علىمحرك الألعاب الأشهر Unity وكيفية عمله من خلال بناء ألعاب وبناء ملف خاص بك لرفع مشاريعك في مجال الألعاب,", تطوير المهتمين في مجال الألعاب , تطوير الباحثين عن وظائف في نفس المجال , توعية المجتمع  بأهمية الألعاب ومستقبلها في المملكة العربية السعودية",الرياض,6 أسابيع,04:00 م - 08:00 م,2024-06-30,2024-08-08,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/vleGDNVR/view
تصميم وتصنيع الحلول الهندسية,معسكر,صناعة الحلول الهندسية واخراجها على شكل أنظمة تخدم الصناعات المدنية والعسكريةوذلك بالتطبيق النظري والعملي ببناء تجارب ومشاريع صغيرة، وربطهما في بعضهما البعضفي الميكانيكا والكهرباء والإلكترونيات والاتصالات والبرمجة.,", تصنيع الأنظمة محلياً للقطاعات المدنية والعسكرية., تطوير المنظومات المدنية والعسكرية., صناعة حلول لحل مشاكل المنظومات المدنية والعسكرية., توطين صناعات الأنظمة محلياً باستخدام المواد والموارد المحلية، والاستقلالية عن الشركات الخارجية المحتكرة لقطع الغيار والصيانة  والدعم الفني وبرامج التشغيل، مما يستهلك الكثير من الوقت والجهد والمال وذلك لتحقيق رؤية 2030., تخريج كادر فعال ومبدع متوافق استراتيجي يتم الاعتماد عليه في عملية البحث والتطوير في كافة المجالات الهندسية والتقنية.",الرياض,14 أسابيع,05:00 م - 09:00 م,2024-06-30,2024-10-03,كبار,", أين سيقام المعسكر؟, هل يتوجب علي الحضور لمدينة الرياض للإلتحاق بالمعسكر؟",", في مقر الأكاديمية بمدينة الرياض, نعم",https://tuwaiq.edu.sa/bootcamp/Vo05XADm/view
مقدمة في شيربوينت (أساسيات الإدارة والتخصيص),برنامج,"يهدف البرنامج للتعرف على أساسيات إدارة وتخصيص SharePoint في ""Introduction to SharePoint""، والتعرف على مفاهيم SharePoint وكيفية إعداد المواقع والمكتبات وتخصيص الصفحات وإدارة المواقع وإدارة الصلاحيات.",", فهم أساسيات SharePoint: تزويد المشاركين بفهم شامل لمفهوم SharePoint وأهميته، بما في ذلك الاختلافات بين SharePoint Online و On-Premises., إتقان إدارة المواقع والمكتبات: تمكين المشاركين من إنشاء وإدارة المواقع والمكتبات في SharePoint، بما في ذلك تكوين الأمان والصلاحيات., استخدام ميزات البحث والاستكشاف: تزويد المشاركين بالمهارات اللازمة للبحث عن المعلومات واستخدام ميزات البحث والاستكشاف بفعالية في SharePoint., تخصيص واستخدام التطبيقات الإضافية: تمكين المشاركين من تخصيص المواقع والصفحات واستخدام التطبيقات الإضافية لتلبية احتياجات المنظمات.",الرياض,أسبوع واحد,06:30 م - 09:30 م,2024-06-30,2024-07-04,كبار,", هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/mog23GNL/view
هندسة الحوسبة السحابية AWS,برنامج,يهدف برنامج هندسة الحوسبة السحابية إلى تزويد المتدربين بالمعرفة الشاملة عن خدمات أمازون الضرورية لتنفيذ حلول سحابية، ويشمل ذلك بعض الأفكار المتعلقة بكيفية تصميم الحلول بطريقة آمنة ومقاومة للمشاكل التقنية. ,", تعلم كيفية استخدام الأدوات والخدمات المختلفة في أمازون لتكوين وتشغيل البيئات السحابية. , إدارة الأمان والوصول إلى خدمات أمازون, تصميم شبكات فعالة لاستضافة الخوادم وقواعد البيانات وغيرها على أمازون, التعرف على الخدمات التي تمكن المنظمات من تنفيذ مشاريع برمجية ببنية حديثة, استكشاف المفاهيم المتعلقة بانتقال الأعمال التقنية من بيئة تقليدية إلى السحابة",الرياض,أسبوعان,09:00 ص - 03:00 م,2024-07-07,2024-07-18,كبار,", هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/xwYwPqLa/view
 Security + أمن المعلومات ,برنامج,يهدف البرنامج إلى التعريف بالوحدات الأساسية المتعلقة بأمن المعلومات، والإلمام بالتحديات والتهديدات السيبرانية والأساليب المتقدمة لحماية خصوصية المعلومات، بالإضافة إلى الإعداد والمعرفة اللازمة لتجاوز اختبار الشهادة العالمية (CompTIA Security + Certification).,", التمييز بين أقسام مجال أمن المعلومات ومعرفة المهارات اللازمة لكل قسم., الإلمام بالتحديات والتهديدات السيبرانية التي تشكل خطرًا على المنظومات., الوعي الشامل بخصوصية المعلومات والأساليب المتقدمة لحمايتها بناءً على المعايير الأمنية.",الرياض,أسبوعان,06:00 م - 09:00 م,2024-07-07,2024-07-18,كبار,", هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/Mq2yzpl5/view
الحوسبة السحابية والذكاء الاصطناعي,برنامج,يهدف البرنامج للتعرف على أساسيات التعامل مع سحابة علي بابا، وتغطية الخدمات الأساسية المستخدمة في معظم الأعمال العاملة على السحابة، بما في ذلك الحوسبة المرنة، والشبكات، والأمان، وقواعد البيانات، والتخزين.,", فهم أساسيات الحوسبة السحابية وكيف تختلف عن البنية التحتية لتكنولوجيا المعلومات التقليدية., فهم الخدمات الأساسية للحوسبة السحابية (الحوسبة، التخزين، الشبكات، قواعد البيانات) وكيفية ترابطها مع بعضها البعض., فهم أساسيات الذكاء الاصطناعي التوليدي والاعتبارات الأخلاقية المشاركة في تطوير تطبيقات GenAI.",الرياض,أسبوع واحد,09:00 ص - 01:00 م,2024-07-14,2024-07-18,كبار,", هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/KwVlDV3b/view
